Disc/track	Artist	Song
AHVP03-14	Tony Bennett	I Left My Heart In San Francisco
AHVP03-15	Tokens	Lion Sleeps Tonight
AHVP04-01	Tammy Wynette	Stand By Your Man
AHVP04-02	Frank Sinatra	My Way
AHVP04-03	Eric Clapton	Wonderful Tonight
AHVP04-04	Beatles	Hey Jude
AHVP04-05	Billy Vera & The Beaters	At This Moment
AHVP04-06	Doobie Brothers	Black Water
AHVP04-07	Elvis Presley	Suspicious Minds
AHVP04-08	Johnny Mathis & Deniece Williams	Too Much Too Little Too Late
AHVP04-09	Elton John	Your Song
AHVP04-10	Merle Haggard	Okie From Muskogee
AHVP04-11	Barbra Streisand	People
AHVP04-12	Elvis Presley	Don\'t Be Cruel
AHVP04-13	Partridge Family	I Think I Love You
AHVP04-14	Michael Bolton	When A Man Loves A Woman
AHVP04-15	Beatles	Eight Days A Week
AHVP05-01	Bob Seger	Old Time Rock & Roll
AHVP05-02	Julio Iglesias & Willie Nelson	To All The Girls I\'ve Loved Before
AHVP05-03	Tammy Wynette	D-I-V-O-R-C-E
AHVP05-04	Elvis Presley	It\'s Now Or Never
AHVP05-05	Monkees	Daydream Believer
AHVP05-06	Frank Sinatra	Strangers In The Night
AHVP05-07	Elvis Presley	Can\'t Help Falling In Love
AHVP05-08	Harry Belafonte	Day O (The Banana Boat Song)
AHVP05-09	Frank Sinatra	New York, New York
AHVP05-10	Mamas & The Papas	California Dreamin\'
AHVP05-11	Tennessee Ernie Ford	Sixteen Tons
AHVP05-12	Queen	Crazy Little Thing Called Love
AHVP05-13	Frank Sinatra	All The Way
AHVP05-14	Joe Cocker & Jennifer Warnes	Up Where We Belong
AHVP05-15	Garth Brooks	Dance
AHVP06-01	Randy Travis	Forever & Ever Amen
AHVP06-02	Bobby Darin	Mack The Knife
AHVP06-03	Beach Boys	Fun, Fun, Fun
AHVP06-04	Manfred Mann	Do Wah Diddy Diddy
AHVP06-05	Willie Nelson	On The Road Again
AHVP06-06	Elton John	Don\'t Let The Sun Go Down On Me
AHVP06-07	Frank Sinatra	Summer Wind
AHVP06-08	Jimmy Buffett	Changes In Latitude, Changes In Attitude
AHVP06-09	John Denver	Take Me Home, Country Roads
AHVP06-10	Elvis Presley	All Shook Up
AHVP06-11	Captain & Tenille	Love Will Keep Us Together
AHVP06-12	Elton John	Candle In The Wind
AHVP06-13	Peaches & Herb	Reunited
AHVP06-14	Harry Chapin	Cat\'s In The Cradle
AHVP06-15	Whitney Faith Evans Houston & Price	Heartbreak Hotel
AHVP07-01	Beach Boys	California Girls
AHVP07-02	Skeeter Davis	End Of The World
AHVP07-03	Bill Haley & His Comets	Rock Around The Clock
AHVP07-04	Oak Ridge Boys	Elvira
AHVP07-05	Billy Idol	Mony Mony
AHVP07-06	Judy Garland	Over The Rainbow
AHVP07-07	Linda Ronstadt & James Ingram	Somewhere Out There
AHVP07-08	Beatles	Back In The Ussr
AHVP07-09	Hank Williams	Your Cheatin\' Heart
AHVP07-10	Engelbert Humperdinck	Release Me
AHVP07-11	Ringo Starr	You\'re Sixteen
AHVP07-12	Linda Ronstadt	You\'re No Good
AHVP07-13	Willie Nelson & Waylon Jennings	Mamas, Don\'t Let Your Babies
AHVP07-14	Kool & The Gang	Celebration
AHVP07-15	Wham	Careless Whisper
AHVP08-01	Bette Midler	Wind Beneath My Wings
AHVP08-02	Elvis Presley	Teddy Bear
AHVP08-03	Alabama	Mountain Music
AHVP08-04	Linda Ronstadt	Blue Bayou
AHVP08-05	Elvis Presley	Viva Las Vegas
AHVP08-06	John Denver	Thank God I\'m A Country Boy
AHVP08-07	Cyndi Lauper	Girls Just Wanna Have Fun
AHVP08-08	Magneto	Sugar Sugar
AHVP08-09	Kingsmen	Louie, Louie
AHVP08-10	Dion & The Belmonts	Runaround Sue
AHVP08-11	Bachman Turner Overdrive	Takin\' Care Of Business
AHVP08-12	Madonna	Crazy For You
AHVP08-13	Bangles	Manic Monday
AHVP08-14	Bon Jovi	Wanted Dead Or Alive
AHVP08-15	Everly Brothers	Bye Bye Love
AHVP09-01	Ritchie Valens	La Bamba
AHVP09-02	Hank Williams Jr	Hey Good Lookin\'
AHVP09-03	Engelbert Humperdinck	After The Lovin\'
AHVP09-04	Beatles	Lucy In The Sky With Diamonds
AHVP09-05	Elvis Presley	Wonder Of You
AHVP09-06	Ben E King	Stand By Me
AHVP09-07	Sweat Blood & Tears	Spinning Wheel
AHVP09-08	Glen Campbell	By The Time I Get To Phoenix
AHVP09-09	Neil Diamond	Sweet Caroline
AHVP09-10	Bonnie Raitt	Something To Talk About
AHVP09-11	Judds	Love Can Build A Bridge
AHVP09-12	Elton John & Kiki Dee	Don\'t Go Breaking My Heart
AHVP09-13	Dells	December \'63 (Oh What A Night)
AHVP09-14	John Travolta	Greased Lightnin\'
AHVP09-15	Harry Connick Jr	It Had To Be You
AHVP10-01	Bette Midler	Rose
AHVP10-02	Beatles	Sgt Pepper\'s Lonely Hearts Club Band
AHVP10-03	Don McLean	American Pie
AHVP10-04	Irene Cara	Fame
AHVP10-05	Village People	Y M C A
AHVP10-06	Nat King Cole & Natalie Cole	Unforgettable
AHVP10-07	Hank Williams Jr	Family Tradition
AHVP10-08	Olivia Newton John & John Travolta	You\'re The One That I Want
AHVP10-09	John Lennon	Imagine
AHVP10-10	Sweat Blood & Tears	Hi De Ho
AHVP10-11	Ricky Nelson	Hello Mary Lou
AHVP10-12	Van Morrison	Brown Eyed Girl
AHVP10-13	Aerosmith	Dream On
AHVP10-14	Jimmy Buffett	Margaritaville
AHVP10-15	Gloria Gaynor	I Will Survive
