DISC/TRACK	ARTIST	SONG
ZMLP007-11	Dr Hook	When You're In Love With A Beautiful Woman
ZMLP008-11	Duran Duran	Is There Something I Should Know
ZMLP010-04	Elton John	Are You Ready For Love
ZMLP001-06	Elton John	Candle In The Wind
ZMLP006-16	Elvis Presley	Devil In Disguise
ZMLP006-06	Elvis Presley	In The Ghetto
ZMLP005-09	Elvis Presley	It's Now Or Never
ZMLP005-11	Elvis Presley	Jailhouse Rock
ZMLP005-10	Elvis Presley	Return To Sender
ZMLP005-12	Elvis Presley	Suspicious Minds
ZMLP005-13	Elvis Presley	Wonder Of You
ZMLP010-18	Elvis Vs Jxl	Little Less Conversation
ZMLP004-06	Enrique Iglesias	Bailamos
ZMLP008-07	Eurythmics	Sweet Dreams Are Made Of This
ZML09-12	Eva Cassidy	Over The Rainbow
ZMLP001-05	Everly Brothers	Bye Bye Love
ZML09-11	Extreme	More Than Words
ZMLP002-17	Fairground Attraction	Perfect
ZMLP006-03	Foundations	Build Me Up Buttercup
ZMLP007-14	Four Seasons	Dec-63
ZMLP006-12	Four Tops	Reach Out
ZMLP005-18	Frank Sinatra	My Way
ZMLP005-19	Frank Sinatra	New York, New York
ZMLP005-20	Frank Sinatra	That's Life
ZMLP006-04	Frank Sinatra & Nancy Sinatra	Somethin' Stupid
ZMLP007-01	Free	All Right Now
ZMLP003-03	Gabrielle	Rise
ZMLP010-15	Gareth Gates	Spirit In The Sky
ZMLP006-10	Gary Puckett & Union Gap	Young Girl
ZMLP007-02	George McCrae	Rock Your Baby
ZMLP001-07	George Michael	Careless Whisper
ZML09-14	George Michael & Elton John	Don't Let The Sun Go Down On Me
ZMLP003-08	Geri Halliwell	It's Raining Men
ZMLP006-05	Gerry & The Pacemakers	I Like It
ZMLP010-05	Girls Aloud	Sound Of The Underground
ZMLP005-17	Glen Campbell	Rhinestone Cowboy
ZMLP002-01	Gloria Gaynor	I Will Survive
ZMLP003-10	Hear'say	Pure And Simple
ZMLP006-07	Hollies	He Ain't Heavy, He's My Brother
ZMLP002-13	Irene Cara	Fame
ZMLP007-09	Jackson Five	I Want You Back
ZMLP007-19	John Denver	Annie's Song
ZMLP005-05	John Lennon	Imagine
ZMLP001-18	John Lennon	Jealous Guy
ZMLP006-08	Johnny Tillotson	Poetry In Motion
ZMLP010-12	Junior Senior	Move Your Feet
ZMLP006-11	Kinks	You Really Got Me
ZMLP010-13	Kylie Minogue	Come Into My World
ZMLP008-18	Kylie Minogue	Locomotion
ZMLP010-08	Las Ketchup	Ketchup Song
ZMLP003-09	Liberty X	Just A Little
ZMLP008-05	Lionel Richie	All Night Long
ZMLP003-04	Louise	Stuck In The Middle With You
ZMLP002-08	Lynn Anderson	Rose Garden
ZMLP004-02	Madonna	Like A Prayer
ZMLP004-03	Madonna	Like A Virgin
ZMLP008-14	Madonna	Material Girl
ZMLP006-13	Manfred Mann	Do Wah Diddy Diddy
ZML09-02	Mariah Carey	Hero
ZML09-01	Mavericks	Dance The Night Away
ZMLP008-02	Meatloaf	Dead Ringer For Love
ZMLP001-15	Meatloaf	Two Out Of Three Aint Bad
ZMLP008-12	Men At Work	Down Under
ZMLP005-01	Monkees	Daydream Believer
ZMLP006-24	Monkees	I'm A Believer
ZMLP003-17	Mousse T & Tom Jones	Sex Bomb
ZMLP010-07	Ms Teeq	Scandalous
ZML09-16	Natalie Imbruglia	Torn
ZMLP007-03	Neil Diamond	Cracklin? Rosie
ZMLP001-19	Neil Diamond	Sweet Caroline
ZMLP004-08	Nickelback	How You Remind Me
ZML09-17	No Doubt	Don't Speak
ZMLP010-17	Norah Jones	Don't Know Why
ZMLP004-09	Oasis	Wonderwall
ZMLP002-15	Olivia Newton John	Hopelessly Devoted To You
ZMLP005-03	Otis Redding	Dock Of The Bay, The (Sittin' On)
ZMLP002-12	Patsy Cline	Crazy
ZMLP008-15	Phillip Bailey & Phil Collins	Easy Lover
ZMLP007-16	Police	Message In A Bottle
ZMLP007-10	Queen	Crazy Little Thing Called Love
ZMLP001-17	Queen	We Will Rock You
ZMLP001-09	Rem	Losing My Religion
ZMLP008-19	Rick Astley	Never Gonna Give You Up
ZML09-03	Ricky Martin	Livin' La Vida Loca
ZML09-08	Right Said Fred	I'm Too Sexy
ZMLP005-06	Righteous Brothers	Unchained Melody
ZMLP005-07	Righteous Brothers	You've Lost That Lovin' Feelin
ZMLP005-08	Robbie Williams	Angels
ZMLP010-02	Robbie Williams	Feel
ZML09-07	Robbie Williams	Millennium
ZMLP003-13	Robbie Williams	Rock D J
ZMLP010-03	Robbie Williams	Something Beautiful
ZMLP005-04	Robson & Jerome	I Believe
ZMLP007-07	Rod Stewart	Maggie May
ZMLP006-14	Rolling Stones	Honky Tonk Women
ZMLP003-18	Ronan Keating	Life Is A Rollercoaster
ZMLP003-02	Ronan Keating	When You Say Nothing At All
ZMLP001-12	Roy Orbison	Oh Pretty Woman
ZMLP010-09	S Club 7	Don't Stop Movin'
ZMLP003-11	S Club 7	Reach
ZML09-06	Santana & Rob Thomas	Smooth
ZMLP006-15	Searchers	Needles And Pins
ZMLP006-18	Searchers	Sugar And Spice
ZMLP004-13	Shania Twain	Man I Feel Like A Woman
ZML09-15	Sheryl Crow	All I Wanna Do
ZMLP006-17	Simon & Garfunkel	Mrs. Robinson
ZMLP004-12	Sinead O'connor	Nothing Compares To You
ZMLP006-20	Sonny & Cher	I Got You Babe
ZMLP001-02	Spandau Ballet	Gold
ZMLP006-22	Spencer Davis Group	Keep On Running
ZMLP003-06	Spiller	Groovejet (If This Ain't Love)
ZMLP008-17	Starship	Nothing Gonna Stop Us Now
ZMLP003-14	Steps	Tragedy
ZMLP003-07	Stereophonics	Handbags And Gladrags
ZMLP007-15	T Rex	Ride A White Swan
ZMLP010-06	T.A.T.U.	Not Gonna Get Us
ZMLP002-06	Tammy Wynette	Stand By Your Man
ZMLP002-09	Tina Turner	Simply The Best
ZMLP005-02	Tom Jones	Delilah
ZMLP006-19	Tommy Roe	Sheila
ZMLP003-15	Toploader	Dancing In The Moonlight
ZMLP006-23	Troggs	Wild Thing
ZMLP001-08	Ub40	Kingston Town
ZMLP004-07	Uncle Kracker	Follow Me
ZMLP001-01	Van Morrison	Brown Eyed Girl
ZMLP005-21	Village People	Y.M.C.A
ZML09-13	Wet Wet Wet	Goodnight Girl
ZMLP005-15	Wet Wet Wet	Love Is All Around
ZMLP008-13	Wham	Wake Me Up Before You Go-Go
ZMLP004-17	Wheatus	Teenage Dirtbag
ZMLP002-14	Whitney Houston	Greatest Love Of All
ZMLP002-18	Whitney Houston	I Will Always Love You
ZMLP003-01	Will Young	Evergreen
