DISC/TRACK	ARTIST	SONG
TU055-22	Cherry Poppin' Daddies (Wvocal)	Zoo Suit Riot
TU056-01	Kenny Rogers	Buy Me A Rose
TU056-02	Phil Vassar	Carlene
TU056-03	Toby Keith	How Do You Like Me Now
TU056-04	Dwight Yoakam	I Want You To Want Me
TU056-05	Toby Keith	I'm Just Talkin About Tonight
TU056-06	Aaron Tippin	Kiss This
TU056-07	Diamond Rio	One More Day
TU056-08	Phil Vassar	Rose Bouquet
TU056-09	Darryl Worley	Second Wind
TU056-10	Montgomery Gentry	She Couldn?T Change Me
TU056-11	Tim Rushlow	She Misses Him
TU056-12	Kenny Chesney	She Thinks My Tractor's Sexy
TU056-13	Clay Davidson	Sometimes
TU056-14	Diamond Rio	Sweet Summer
TU056-15	Tim McGraw	Telluride
TU056-16	Travis Tritt	Best Of Intentions
TU057-01	Brooks & Dunn	Ain't Nothing 'Bout You
TU057-02	Brooks & Dunn	Boot Scootin' Boogie
TU057-03	Brooks & Dunn	Brand New Man
TU057-04	Brooks & Dunn	Good Girls Go To Heaven
TU057-05	Brooks & Dunn	Husbands And Wives
TU057-06	Brooks & Dunn	Lost & Found
TU057-07	Brooks & Dunn	My Heart Is Lost To You
TU057-08	Brooks & Dunn	My Maria
TU057-09	Brooks & Dunn	My Next Broken Heart
TU057-10	Brooks & Dunn	Neon Moon
TU057-11	Brooks & Dunn	Only In America
TU057-12	Brooks & Dunn	She's Not The Cheatin' Kind
TU057-13	Brooks & Dunn	Long Goodbye
TU057-14	Brooks & Dunn	Unloved
TU057-16	Lonestar	Amazed
TU057-17	Lonestar	Every Little Thing She Does
TU057-18	Lonestar	I'm Already There
TU057-19	Lonestar	Smile
TU057-20	Lonestar	Tell Her That You Love Her
TU057-21	Lonestar	What About Now
TU058-01	Dixie Chicks	Cowboy Take Me Away
TU058-02	Dixie Chicks	Goodbye Earl
TU058-03	Dixie Chicks	I Can Love You Better
TU058-04	Dixie Chicks	If I Fall
TU058-05	Dixie Chicks	Let 'Er Rip
TU058-06	Dixie Chicks	Loving Arms
TU058-07	Dixie Chicks	Once You've Loved Somebody
TU058-08	Dixie Chicks	Ready To Run
TU058-09	Dixie Chicks	Sin Wagon
TU058-10	Dixie Chicks	Some Days You Gotta Dance
TU058-11	Dixie Chicks	There's Your Trouble
TU058-12	Dixie Chicks	Tonight The Heartache's On Me
TU058-13	Dixie Chicks	Wide Open Spaces
TU058-14	Dixie Chicks	Without You
TU058-15	Dixie Chicks	You Were Mine
TU058-16	Forester Sisters	Men
TU058-17	Judds	Have Mercy
TU058-18	Judds	Mama He's Crazy
TU058-19	Judds	Why Not Me
TU058-20	Judds	Young Love
TU059-01	Tantric	Breakdown
TU059-02	Doves	Catch The Sun
TU059-03	Linkin Park	Crawlin'
TU059-04	Depeche Mode	Dream On
TU059-05	Incubus	Drive
TU059-06	American Hi Fi	Flavor Of The Weak
TU059-07	Aerosmith	Fly Away From Here
TU059-08	Godsmack	Greed
TU059-09	Weezer	Hashpipe
TU059-10	Dave Matthews Band	I Did It
TU059-11	Rem	Imitation Of Life
TU059-12	Staind	It's Been A While
TU059-14	Limp Bizkit	My Way
TU059-15	Staind	Outside
TU059-16	Tool	Schism
TU059-17	Offspring	Kids Aren't Alright
TU059-18	Blink 182	Rock Show
TU059-19	Sugar Ray	When It's Over
TU060-01	Fleetwood Mac	Don't Stop
TU060-02	Fleetwood Mac	Go Your Own Way
TU060-03	Fleetwood Mac	Gypsy
TU060-04	Fleetwood Mac	Landslide
TU060-05	Fleetwood Mac	Rhiannon
TU060-06	Fleetwood Mac	Sara
TU060-07	Fleetwood Mac	Say You Love Me
TU060-08	Fleetwood Mac	Silver Springs
TU060-09	Fleetwood Mac	Stand Back
TU060-10	Fleetwood Mac	Stop Draggin' My Heart Around
TU060-11	Fleetwood Mac	You Make Loving Fun
TU060-12	Stevie Nicks	Edge Of Seventeen
TU060-13	Stevie Nicks	Everyday Love
TU060-14	Stevie Nicks	Leather And Lace
TU060-15	Stevie Nicks	Planets Of The Universe
TU060-16	Stevie Nicks & The Dixie Chicks	Too Far From Texas
TU060-17	Stevie Nicks	Trouble In Shangri-La
TU061-01	Jessica Simpson	A Little Bit
TU061-02	A Teens	Bouncing Off The Ceiling
TU061-03	Faith Evans	Can't Believe
TU061-04	Michelle Branch	Everywhere
TU061-05	Alicia Keys	Fallin'
TU061-06	Missy Elliott	Get Your Freak On
TU061-07	Blu Cantrell	Hit 'Em Up With Style
TU061-08	Dido	Hunter
TU061-09	Willa Ford	I Wanna Be Bad
TU061-10	Stella Soleil	Kiss Kiss
TU061-11	Eve & Gwen Stefani	Le Me Blow Ya Mind
TU061-12	Sarina Paris	Look At Us
TU061-13	Janet Jackson	Someone To Call My Lover
TU061-14	Rockwell	Dance
TU061-15	Dream	This Is Me
TU061-16	Aaliyah	Try Again
TU061-17	Nelly Furtado	Turn Off The Light
TU061-18	City High	What Would You Do
TU061-19	Jessica Simpson (Wvocals)	A Little Bit
TU061-20	A Teens (Wvocals)	Bouncing Off The Ceiling Upside Down
TU062-01	O' Town	All Or Nothing
TU062-02	Ludacris	Area Codes
TU062-03	Ateens	Bouncing Off The Ceiling
TU062-04	Faith Evans & Carl Thomas	Can't Believe
TU062-06	U2	Elevation
TU062-07	Kelly R. & Boo & Gotti	Fiesta
TU062-08	Backstreet Boys	More Than That
TU062-09	Lil' Romeo	My Baby
TU062-10	Bon Jovi	One Wild Night
TU062-11	112	Peaches & Cream
TU062-12	N Sync	Pop
TU062-13	Nelly	Ride With Me
TU062-14	Joe & Mystikal	Stutter
TU062-15	Luther Vandross	Take You Out
TU062-16	Usher	You Remind Me
TU062-17	City High	What Would You Do
TU062-18	Jagged Edge & Nelly	Where The Party At
TU063-01	Mark Wills	Almost Doesn't Count
TU063-02	Tim McGraw	Angry All The Time
TU063-03	Blake Shelton	Austin
TU063-04	Keith Urban	But For The Grace Of God
TU063-05	Clay Walker	Chain Of Love
TU063-06	Lonestar	Every Little Thing She Does
TU063-07	Darryl Worley	Good Day To Run
TU063-08	Andy Griggs	How Cool Is That
TU063-09	Kenny Chesney	I Lost It
TU063-10	George Strait	If It's Gonna Rain
TU063-11	Clay Walker	If You Ever Feed Like Lovin' Me
TU063-12	Travis Tritt	Love Of A Woman
TU063-13	Marshall Dyllon	She Ain't Gonna Cry
TU063-14	Perfect Stranger	Hits
TU063-15	George Jones	Man He Was
TU063-16	Ray Hood	What's A Little More Water
TU063-17	Keith Urban	Where The Blacktop Ends
TU063-18	Perfect Stranger	You Have The Right To Remain Silent
TU063-19	Blake Shelton (Wvocal)	Austin
TU063-20	Marshall Dyllon (Wvocal)	She Ain't Gonna Cry
TU064-01	Irene Kelley	Little Bluer Than That
TU064-02	Tammy Cochran	Angels In Waiting
TU064-03	Lila McCann	Come A Little Closer
TU064-04	Dixie Chicks	Heart Break Town
TU064-05	Jessica Andrews	Helplessly Hopelessly
TU064-06	Chely Wright	I Could Never Love You Enough
TU064-07	Alison Krauss	I'll Fly Away (Low Harmony)
TU064-08	Alison Krauss	I'll Fly Away (High Harmony)
TU064-09	Lee Ann Womack	I'll Think Of A Reason Later
TU064-10	Meredith Edwards	Bird Song
TU064-11	Martina McBride	There You Are
TU064-12	Pam Tillis	Thunder And Roses
TU064-13	Dixie Chicks & Stevie Nicks	Too Far From Texas
TU064-14	Martina McBride	When God Fearin' Women Get The Blues
TU064-15	Coley McCabe	Who I Am To You
TU064-16	Patty Loveless	You Don't Even Know Who I Am
TU065-01	Christmas	Ave Maria
TU065-02	Christmas	Away In A Manger
TU065-03	Christmas	Deck The Halls
TU065-04	Christmas	Do You Hear What I Hear
TU065-05	Christmas	First Noel
TU065-06	Christmas	God Rest Ye Merry Gentlemen
TU065-07	Christmas	Hark! The Heral Angel Sing
TU065-08	Christmas	Have Yourself A Merry Little Christmas
TU065-09	Christmas	Joy To The World
TU065-10	Christmas	Little Drummer Boy
TU065-11	Christmas	O Come All Ye Faithful
TU065-12	Christmas	O Holy Night
TU065-13	Christmas	O Little Town Of Bethlehem
TU065-14	Christmas	Silent Night
TU065-15	Christmas	Silver Bells
TU065-16	Christmas	Twelve Days Of Christmas
TU065-17	Christmas	We Three Kings
TU065-18	Christmas	We Wish You A Merry Christmas
TU065-19	Christmas	What Child Is This
TU065-20	Christmas	White Christmas
TU066-01	Chistmas Christmas	Auld Lang Syne
TU066-02	Elvis Presley	Blue Christmas
TU066-03	David Seville & The Chipmunks	Chipmunk Song
TU066-04	Nat King Cole	Christmas Song
TU066-05	Jose Feliciano	Feliz Navidad
TU066-06	Christmas	Frosty The Snowman
TU066-07	Elmo 'N Patsy	Grandma Got Run Over By A Reindeer
TU066-08	Cledus T Judd	Granpa Got Run Over By A John Deere
TU066-09	Christmas	Here Comes Santa Claus
TU066-10	Christmas	I Saw Mommy Kissing Santa Claus
TU066-11	Christmas	I'll Be Home For Christmas
TU066-12	Christmas	It's Beginning To Look A Lot Like Christmas
TU066-13	Bobby Helms	Jingle Bell Rock
TU066-14	Christmas	Let It Snow, Let It Snow, Let It Snow
TU066-15	Christmas	Rudolph The Red Nosed Reindeer
TU066-16	Christmas	Santa Claus Is Coming To Town
TU066-17	Royal Guardsmen	Snoopy Vs The Red Baron
TU066-18	Royal Guardsmen	Snoopy's Christmas
TU066-19	Christmas	Winter Wonderland
TU067-01	Neil Diamond	And The Grass Won't Pay No Mind
TU067-02	Neil Diamond	America
TU067-03	Neil Diamond	Beautiful Noise
TU067-04	Neil Diamond	Brooklyn Roads
TU067-05	Neil Diamond	Brother Love's Salvation Show
TU067-06	Neil Diamond	Cherry, Cherry
TU067-07	Neil Diamond	Cracklin' Rosie
TU067-08	Neil Diamond	Desiree
TU067-09	Neil Diamond	Forever In Blue Jeans
TU067-10	Neil Diamond	Girl You'll Be A Woman Soon
TU067-11	Neil Diamond	Heartlight
TU067-12	Neil Diamond	Hello Again
TU067-13	Neil Diamond	Holly Holy
TU067-14	Neil Diamond	I Am I Said
TU067-15	Neil Diamond	I Got The Feelin' (Oh No No)
TU067-16	Neil Diamond	I Haven't Played This Song
TU067-17	Neil Diamond	I Believe In Happy Endings
TU067-18	Neil Diamond	If You Know What I Mean
TU068-01	Neil Diamond	I'm A Believer
TU068-02	Neil Diamond	I'm Alive
TU068-03	Neil Diamond	Kentucky Woman
TU068-04	Neil Diamond	Leave A Little Room For God
TU068-05	Neil Diamond	Longfellow Serenade
TU068-06	Neil Diamond	Love On The Rocks
TU068-07	Neil Diamond	Morningside
TU068-08	Neil Diamond	Play Me
TU068-09	Neil Diamond	Red Red Wine
TU068-10	Neil Diamond	September Morn
TU068-11	Neil Diamond	Shilo
TU068-12	Neil Diamond	Solitary Man
TU068-13	Neil Diamond	Song Sung Blue
TU068-14	Neil Diamond	Soolaimon
TU068-15	Neil Diamond	Sweet Caroline
TU068-16	Neil Diamond	Thank The Lord
TU068-17	Neil Diamond	Yesterday's Songs
TU068-18	Neil Diamond	You Are The Best Part Of Me
TU068-19	Neil Diamond	You Don't Bring Me Flowers
TU069-01	Vic Mizzy	Addams Family
TU069-02	Ray Parker Jr	Ghostbusters
TU069-03	C C R	I Put A Spell On You
TU069-04	Fred Schneider	I'm Gonna Haunt You
TU069-05	Amboy Duke	Journey To The Center Of The
TU069-06	Fred Schneider	Monster In My Pants
TU069-07	Monster Mash	Pickett, Bobby Boris
TU069-08	Bon Jovi	One Wild Night
TU069-09	Sheb Wooley	Purple People Eater
TU069-10	Classics IV	Spooky
TU069-11	Herman's Hermits	Theme From The Munsters
TU069-12	Napoleon XIV	They're Coming To Take Me
TU069-13	Michael Jackson	Thriller
TU069-14	Rocky Horror Picture Show	Time Warp
TU069-15	Stryper	To Hell With The Devil
TU069-16	Golden Earring	Twilight Zone
TU069-17	Warren Zevon	Werewolves Of London
TU069-18	Troggs	Wild Thing
TU069-19	David Seville	Witch Doctor
TU069-20	Monster In My Pants (Vocal)	Schneider, Fred
TU069-21	Bobby Boris Pickett	Monster Mash (Wvocal)
TU069-22	Rocky Horror Picture Show	Time Warp (Wvocal)
TU069-23	Sound Effects	Chains
TU069-24	Sound Effects	Creaking
TU069-25	Sound Effects	Evil Laugh
TU069-26	Sound Effects	Girl Fear Screams
TU069-27	Sound Effects	It's Alive
TU069-28	Sound Effects	It's My Turn
TU069-29	Sound Effects	Montage
TU069-30	Sound Effects	Next Singer
TU069-31	Sound Effects	Ready For The Next Singer
TU069-32	Sound Effects	Thank You For Singing
TU070-01	Bon Jovi	Always
TU070-02	Bon Jovi	Bad Medicine
TU070-03	Bon Jovi	Blaze Of Glory
TU070-04	Bon Jovi	Born To Be My Baby
TU070-05	Bon Jovi	I'll Be There For You
TU070-06	Bon Jovi	It's My Life
TU070-07	Bon Jovi	Keep The Faith
TU070-08	Bon Jovi	Lay Your Hands On Me
TU070-09	Bon Jovi	Livin' On A Prayer
TU070-10	Bon Jovi	One Wild Night 2001
TU070-11	Bon Jovi	Queen Of New Orleans
TU070-12	Bon Jovi	Runaway
TU070-13	Bon Jovi	Say It Isn't So
TU070-14	Bon Jovi	This Ain't A Love Song
TU070-15	Bon Jovi	Wanted Dead Or Alive
TU070-16	Bon Jovi	You Give Love A Bad Name
TU071-01	Tamara Walker	Angel Eyes
TU071-02	Three Of Hearts	Arizona Rain
TU071-03	Shannon Brown	Baby I Lied
TU071-04	Jo Dee Messina & Tim McGraw	Bring On The Rain
TU071-05	Lila McCann	Complete
TU071-06	Terri Clark	Getting There
TU071-07	Dixie Chicks	Hello Mr Heartache
TU071-08	Reba McEntire	I'm A Survivor
TU071-09	Kristin Garner	Let's Burn It Down
TU071-10	Three Of Hearts	Love Is Enough
TU071-11	Sara Evans	Saints And Angels
TU071-12	Jamie O'neal	Shiver
TU071-13	Dixie Chicks	Some Days You Gotta Dance
TU071-14	Leann Rimes	Soon
TU071-15	Lee Ann Womack	Stronger Than I Am
TU071-16	Alison Krauss	Lucky One
TU071-17	Kortney Kayle	Unbroken By You
TU072-01	Montgomery Gentry	Fine Line
TU072-02	Aaron Tippin	Always Was
TU072-03	Kenny Rogers	Beautiful
TU072-04	Alan Jackson	Buicks To The Moon
TU072-05	Brooks & Dunn	Good Girls Go To Heaven
TU072-06	Trace Adkins	I'm Tryin'
TU072-07	Joe Diffie	In Another World
TU072-08	Joe Diffie	In Another World
TU072-09	Gary Allan	Man Of Me
TU072-10	Kenny Chesney	Tin Man
TU072-11	BR549	Too Lazy To Work
TU072-12	Delbert McClinton	When Rita Leaves
TU072-13	Nickel Creek	When You Come Back Down
TU072-14	Warren Brothers	Where Does It
TU072-15	Alan Jackson	Where I Come From
TU073-01	Nelly	#1
TU073-02	Lenny Kravitz	Again
TU073-03	Tait	Alibi
TU073-04	Afroman	Because I Got High
TU073-05	Ginuwine	Differences
TU073-06	Lenny Kravitz	Dig In
TU073-07	Backstreet Boys	Drowning
TU073-08	Craig David	Fill Me In
TU073-09	N Sync	Gone
TU073-10	Enrique Iglesias	Hero
TU073-11	Elton John	I Want Love
TU073-12	Gigi D'agostino	I'll Fly With You
TU073-13	Brian McKnight	Still
TU073-14	U2	Stuck In A Moment
TU073-15	Five For Fighting	Superman
TU073-16	Marc Anthony	Tragedy
TU073-17	Craig David	Walkin' Away
TU073-18	Michael Jackson	You Rock My World
TU074-01	Ian Van Dahl	Castles In The Sky
TU074-02	Destiny's Child	Emotion
TU074-03	Atomic Kitten	Eternal Flame
TU074-04	Mary J. Blige	Family Affair
TU074-05	Steps	It's The Way You Make Me Feel
TU074-06	Da Buzz	Let Me Love You
TU074-07	Mya	Miracles Happen
TU074-08	Missy Elliot	One Minute Man
TU074-09	Hoku	Perfect Day
TU074-10	Stevie Nicks	Planets Of The Universe
TU074-11	Jennifer Lopez	Play
TU074-12	Mandy Moore	Saturate Me
TU074-14	Macy Gray	Sweet Baby
TU074-15	Atomic Kitten	Whole Again
TU074-16	Britney Spears	You Got It All
TU074-17	Mandy Moore	You Remind Me
TU075-01	Papa Roach	Between Angels And Insects
TU075-02	Flickerstick	Chloroform The One You Love
TU075-03	Stone Temple Pilots	Days Of The Week
TU075-04	Sum 41	Fat Lip
TU075-05	Adema	Giving In
TU075-06	Papa Roach	Last Resort
TU075-07	Blink 182	Man Overboard
TU075-08	Offspring	Million Miles Away
TU075-09	Bon Jovi	One Wild Night
TU075-10	Offspring	Original Prankster
TU075-11	Sum 41	Pain For Pleasure
TU075-12	Dave Navarro	Rexall
TU075-13	Cult	Rise
TU075-14	Cake	Short Skirt Long Jacket
TU075-15	Alien Ant Farm	Smooth Criminal
TU075-16	Black Crowes	Soul Singing
TU075-17	Nickelback	This Is How You Remind Me
TU075-18	Stryper	To Hell With The Devil
TU075-19	Seven Mary Three	Wait
TU075-20	Saliva	Your Disease
