ZOOM HOT HITS SERIES
Disc/Track	Song	Artist
ZMH011-16	After All These Years	Foster & Allen
ZMH012-01	Handsome Man	Robbie Williams
ZMH012-02	Hot Fudge	Robbie Williams
ZMH012-03	Feel	Robbie Williams
ZMH012-04	I\'m Gonna Getcha Good	Shania Twain
ZMH012-05	Too Young	Elton John
ZMH012-06	Please	Elton John
ZMH012-07	Rockin\' Good Way	Shakin\' Stevens & Bonnie Tyler
ZMH012-08	Howzat	Sherbet
ZMH012-09	State Of Mind	Electric Light Orchestra
ZMH012-10	Easy Money	Electric Light Orchestra
ZMH012-11	Changing All The Time	Smokie
ZMH012-12	Matrimony	Gilbert O\'sullivan
ZMH012-13	Don\'t Be A Stranger	Dina Carroll
ZMH012-14	Don\'t Cry Out Loud	Elkie Brooks
ZMH012-15	Goodbye Girl	Squeeze
ZMH012-16	Drift Away	Dobie Gray
ZMH013-01	Waterloo	Abba
ZMH013-02	Making Your Mind Up	Bucks Fizz
ZMH013-03	Congratulations	Cliff Richard
ZMH013-04	Beg, Steal Or Borrow	New Seekers
ZMH013-05	Jack In The Box	Clodagh Rodgers
ZMH013-06	Better The Devil You Know	Sonia
ZMH013-07	What\'s Another Year	Johnny Logan
ZMH013-08	Hold Me Now	Johnny Logan
ZMH013-09	Boom Bang-A-Bang	Lulu
ZMH013-10	Sing Little Birdie	Pearl Carr & Teddy Johnson
ZMH013-11	Power To All Our Friends	Cliff Richard
ZMH013-12	Love Shine A Light	Katrina & The Waves
ZMH013-13	Ooh Aah Just A Little Bit	Gina G
ZMH013-14	All Kinds Of Everything	Dana
ZMH013-15	Puppet On A String	Sandie Shaw
ZMH013-16	Save Your Kisses For Me	Brotherhood Of Man
ZMH014-01	White Christmas	Bing Crosby
ZMH014-02	Step Into Christmas	Elton John
ZMH014-03	Mistletoe And Wine	Cliff Richard
ZMH014-04	Blue Christmas	Elvis Presley
ZMH014-05	Rockin\' Around The Christmas Tree	Brenda Lee
ZMH014-06	Thank God It\'s Christmas	Queen
ZMH014-07	When A Child Is Born	Johnny Mathis
ZMH014-08	Mary\'s Boy Child Oh My Lord	Boney M
ZMH014-09	Christmas Song	Nat King Cole
ZMH014-10	Merry Christmas Darling	Carpenters
ZMH014-11	Let It Snow Let It Snow Let It Snow	Dean Martin
ZMH014-12	Do They Know It\'s Christmas	Band Aid
ZMH014-13	Little Saint Nick	Beach Boys
ZMH014-14	Winter Wonderland	Darlene Love
ZMH014-15	Sleigh Ride	Ronettes
ZMH014-16	Frosty The Snowman	Ronettes
ZMH014-17	I Saw Mommy Kissing Santa Claus	Ronettes
ZMH015-01	Make Me An Island	Joe Dolan
ZMH015-02	You\'re Such A Good Looking Woman	Joe Dolan
ZMH015-03	Love Is All	Malcolm Roberts
ZMH015-04	Storms Never Last	Dr Hook
ZMH015-05	Knowing She\'s There	Dr Hook
ZMH015-06	Cannibals	Mark Knopfler
ZMH015-07	Dance With My Father	Luther Vandross
ZMH015-08	Claudette	Roy Orbison
ZMH015-09	Look Of Love	Dusty Springfield
ZMH015-10	If You Were There	Wham
ZMH015-11	Movie Star	Harpo
ZMH015-12	Who Wants To Be A Millionaire	Frank Sinatra & Celeste Holm
ZMH015-13	I\'ll Keep You Satisfied	Billy J Kramer & The Dakotas
ZMH015-14	Attention To Me	Nolans
ZMH015-15	If You Could Read My Mind	Gordon Lightfoot
ZMH015-16	Camouflage	Stand Ridgway
ZMH015-17	New England	Kirsty Maccoll
ZMH015-18	Born Too Late	Poni Tails
ZMH016-01	Only Fools And Horses	John Sullivan
ZMH016-02	Max And Paddy\'s Road To Nowhere	Peter Kay & Patrick McGuinn
ZMH016-03	Jim\'ll Fix It	Unknown
ZMH016-04	Dad\'s Army	Bud Flanagan
ZMH016-05	Hi Ho Silver	Jim Diamond
ZMH016-06	Family Ness	Roger & Gavin Greenaway
ZMH016-07	Half The World Away	Oasis
ZMH016-08	I\'ll Be There For You	Rembrants
ZMH016-09	Hi De Hi (Holiday Rock)	Paul Shane & The Yellowcoat
ZMH016-10	One Foot In The Grave	Eric Idel & Richard Wilson
ZMH016-11	Because Of You	Dexy\'s Midnight Runners
ZMH016-12	Bread	David Mackay & Cast
ZMH016-13	Baywatch	Jimi Jamison
ZMH016-14	Red Dwarf	Jenna Russell
ZMH016-15	Minder	Dennis Waterman
ZMH016-16	Postman Pat	Ken Barrie
ZMH016-17	That\'s Livin\' Alright	Joe Fagin
ZMH017-01	Sing Me An Old-Fashioned Song	Billie Jo Spears
ZMH017-02	What I\'ve Got In Mind	Billie Jo Spears
ZMH017-03	57 Chevrolet	Billie Jo Spears
ZMH017-04	Blanket On The Ground	Billie Jo Spears
ZMH017-05	Rose Garden	Lynn Anderson
ZMH017-06	Crazy	Patsy Cline
ZMH017-07	Walkin\' After Midnight	Patsy Cline
ZMH017-08	I Fall To Pieces	Patsy Cline
ZMH017-09	Sweet Dreams	Patsy Cline
ZMH017-10	D-I-V-O-R-C-E	Tammy Wynette
ZMH017-11	Stand By Your Man	Tammy Wynette
ZMH017-12	Jolene	Dolly Parton
ZMH017-13	Harper Valley P.T.A.	Jeannie C. Riley
ZMH017-14	Coal Miner\'s Daughter	Loretta Lynn
ZMH017-15	Talking In Your Sleep	Crystal Gayle
ZMH017-16	Don\'t It Make My Brown Eyes Blue	Crystal Gayle
ZMH018-01	Coward Of The County	Kenny Rogers
ZMH018-02	Ruby (Don\'t Take Your Love To Town)	Kenny Rogers
ZMH018-03	Lucille	Kenny Rogers
ZMH018-04	Gambler	Kenny Rogers
ZMH018-05	Boy Named Sue	Johnny Cash
ZMH018-06	Ring Of Fire	Johnny Cash
ZMH018-07	I Walk The Line	Johnny Cash
ZMH018-08	Folsom Prison Blues	Johnny Cash
ZMH018-09	El Paso	Marty Robbins
ZMH018-10	Big Iron	Marty Robbins
ZMH018-11	Crystal Chandaliers	Charley Pride
ZMH018-12	Don\'t Close Your Eyes	Keith Whitley
ZMH018-13	Rhinestone Cowboy	Glen Galmpbell
ZMH018-14	I Recall A Gypsy Woman	Don Williams
ZMH018-15	Most Beautiful Girl	Charlie Rich
ZMH018-16	Behind Closed Doors	Charlie Rich
ZMH019-01	You Raise Me Up	Westlife
ZMH019-02	Free Loop	Daniel Powter
ZMH019-03	Bad Day	Daniel Powter
ZMH019-04	You\'re Beautiful	James Blunt
ZMH019-05	High	James Blunt
ZMH019-06	Better Together	Jack Johnson
ZMH019-07	Good People	Jack Johnson
ZMH019-08	Sitting, Waiting, Wishing	Jack Johnson
ZMH019-09	Breakfast At Tiffany\'s	Deep Blue Something
ZMH019-10	Emily	Stephen Fretwell
ZMH019-11	Fix You	Coldplay
ZMH019-12	Speed Of Sound	Coldplay
ZMH019-13	Me And My Monkey	Robbie Williams
ZMH019-14	Shape Of My Heart	Sting
ZMH019-15	Babylon	David Gray
ZMH019-16	Hospital Food	David Gray
ZMH020-01	Weather With You	Crowded House
ZMH020-02	Barbados	Typically Tropical
ZMH020-03	Lovely Day	Bill Withers
ZMH020-04	In The Summertime	Jerry Mungo
ZMH020-05	Days	Kirsty Maccoll
ZMH020-06	Club Tropicana	Wham
ZMH020-07	Long Hot Summer	Style Council
ZMH020-08	Mr. Blue Sky	Electric Light Orchestra
ZMH020-09	Summer Breeze	Isley Brothers
ZMH020-10	Dreadlock Holiday	10 C C
ZMH020-11	Echo Beach	Martha & The Muffins
ZMH020-12	Summer Holiday	Cliff Richard
ZMH020-13	Beach Baby	First Class
ZMH020-14	Surfin\' U.S.A	Beach Boy\'s
ZMH020-15	Summer Rain	Belinda Carlisle
ZMH020-16	Walking On Sunshine	Katrina & The Waves
